,Number,Name_of_Covered_Entity,Industry_Type,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
155,154,University of Rochester Medical Center and Affiliates,Healthcare,NY,,857,08/02/2010,Loss,Other Portable Electronic Device,23/01/2014,,02/08/2010,NA,2010
156,155,State of Delaware Health Plan,Healthcare,DE,Aon Consulting,22642,16/08/2010,Other,Network Server,23/01/2014,"The business associate prepared a document as part of a request for proposal for the covered entity's vision benefit program which mistakenly included protected health information of 22,642 individuals.  The document was posted online for five days.  The protected health information involved in the breach included social security numbers, dates of birth, gender, zip codes, and vision plan enrollment information.  In response to this incident, the covered entity implemented additional safeguards to prevent this type of impermissible disclosure of protected health information.  In particular, the covered entity will now require several layers of review before allowing public disclosure of documents prepared by the business associate.  The covered entity also took steps to enforce the requirements of its business associate agreement with Aon Consulting.  Aon will provide affected individuals with free credit monitoring, fraud resolution resources, and identity theft insurance.  Additionally, the business associate has provided assurances to the covered entity that it has taken steps to prevent this type of impermissible disclosure in the future.

",16/08/2010,NA,2010
157,156,"Curtis R. Bryan, M.D.",Healthcare,VA,,2739,07/12/2010,Theft,Laptop,23/01/2014,,12/07/2010,NA,2010
159,158,LabCorp Patient Service Center,Healthcare,NV,,507,08/02/2010,Theft,Paper,23/01/2014,,02/08/2010,NA,2010
160,159,The Kent Center ,Mental Health,RI,,1361,13/07/2010,Theft,Paper,23/01/2014,,13/07/2010,NA,2010
161,160,"Pediatric and Adult Allergy, PC",Healthcare,IA,,19222,07/11/2010,Loss,Other Portable Electronic Device,23/01/2014,,11/07/2010,NA,2010
162,161,Ault Chiropractic Center,Healthcare,IN,,2000,15/09/2010,Theft,Laptop,23/01/2014,,15/09/2010,NA,2010
163,162,County of Los Angeles,Healthcare,CA,,33000,29/07/2010,Theft,Paper,23/01/2014,,29/07/2010,NA,2010
164,163,"Matthew H. Conrad, M.D., P.A.",Healthcare,KS,,1200,20/08/2010,Theft,Paper,23/01/2014,,20/08/2010,NA,2010
165,164,UnitedHealth Group health plan single affiliated covered entity,Healthcare,MN,CareCore National,1270,07/08/2010,Other,Paper,23/01/2014,,08/07/2010,NA,2010
166,165,Counseling and Psychotherapy of Throggs Neck,Healthcare,NY,,9000,09/06/2010,Theft,Desktop Computer,23/01/2014,,06/09/2010,NA,2010
167,166,United States Air Force,Government,OH,,2123,29/07/2010,Improper Disposal,Paper,23/01/2014,,29/07/2010,NA,2010
168,167,"State of Alaska, Department of Health and Social Services",Healthcare,AK,Alaskan AIDS Assistance Association,2000,09/07/2010,Theft,Other Portable Electronic Device,23/01/2014,,07/09/2010,NA,2010
169,168,"St. Vincent Hospital and Health Care Center, Inc.",Healthcare,IN,,1199,25/07/2010,Theft,Laptop,23/01/2014,,25/07/2010,NA,2010
170,169,Milford Regional Medical Center,Healthcare,MA,,20000,26/07/2010,Improper Disposal,Paper,23/01/2014,,26/07/2010,NA,2010
171,170,"Alliance HealthCare Services, Inc.",Healthcare,CA,Oroville Hospital,1474,31/07/2010,Theft,Other,24/04/2014,"The covered entity (CE) filed a breach report with OCR after two USB storage devices containing electronic protected health information (ePHI) of 1,474 individuals were lost.  The ePHI included names, dates of birth, and treatment information.  Upon discovery of the breach, the CE notified individuals, OCR and the media.  Additionally, the CE initiated an encryption project to encrypt emails, external hard drives, and related media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in an effort to better safeguard ePHI, and encrypted USB devices.



",31/07/2010,NA,2010
172,171,"Alliance HealthCare Services, Inc.",Healthcare,CA,Eden Medical Center,1474,08/05/2010,Theft,Other,24/06/2014,"The covered entity (CE) lost two portable electronic storage devices containing the electronic protected health information (ePHI) of 1,474 individuals.  The ePHI included patients' names, dates of birth, and treatment information.  Upon discovery of the breach, the covered entity (CE) notified individuals, HHS, and the media.  Additionally, the CE initiated a project to encrypt emails, external hard drives, and related electronic media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in order to better safeguard patients' ePHI, and encrypted portable electronic computer devices.",05/08/2010,NA,2010
173,172,NewYork-Presbyterian Hospital and Columbia University Medical Center,Healthcare,NY,,6800,07/01/2010,Theft,Network Server,19/06/2014,"Data breach results in $4.8 million HIPAA settlements

Two health care organizations have agreed to settle charges that they potentially violated the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules by failing to secure thousands of patients' electronic protected health information (ePHI) held on their network. The monetary payments of $4,800,000 include the largest HIPAA settlement to date.

The U.S. Department of Health and Human Services (HHS) Office for Civil Rights (OCR) initiated its investigation of New York and Presbyterian Hospital (NYP) and Columbia University (CU) following their submission of a joint breach report, dated September 27, 2010, regarding the disclosure of the ePHI of 6,800 individuals, including patient status, vital signs, medications, and laboratory results. 

NYP and CU are separate covered entities that participate in a joint arrangement in which CU faculty members serve as attending physicians at NYP. The entities generally refer to their affiliation as 'New York Presbyterian Hospital/Columbia University Medical Center.'  NYP and CU operate a shared data network and a shared network firewall that is administered by employees of both entities. The shared network links to NYP patient information systems containing ePHI.

The investigation revealed that the breach was caused when a physician employed by CU who developed applications for both NYP and CU attempted to deactivate a personally-owned computer server on the network containing NYP patient ePHI. Because of a lack of technical safeguards, deactivation of the server resulted in ePHI being accessible on internet search engines. The entities learned of the breach after receiving a complaint by an individual who found the ePHI of the individual's deceased partner, a former patient of NYP, on the internet.

In addition to the impermissible disclosure of ePHI on the internet, OCR's investigation found that neither NYP nor CU made efforts prior to the breach to assure that the server was secure and that it contained appropriate software protections. Moreover, OCR determined that neither entity had conducted an accurate and thorough risk analysis that identified all systems that access NYP ePHI. As a result, neither entity had developed an adequate risk management plan that addressed the potential threats and hazards to the security of ePHI. Lastly, NYP failed to implement appropriate policies and procedures for authorizing access to its databases and failed to comply with its own policies on information access management.

'When entities participate in joint compliance arrangements, they share the burden of addressing the risks to protected health information,'  said Christina Heide, Acting Deputy Director of Health Information Privacy for OCR. 'Our cases against NYP and CU should remind health care organizations of the need to make data security central to how they manage their information systems.' 

NYP has paid OCR a monetary settlement of $3,300,000 and CU $1,500,000, with both entities agreeing to a substantive corrective action plan, which includes undertaking a risk analysis, developing a risk management plan, revising policies and procedures, training staff, and providing progress reports.

",01/07/2010,NA,2010
174,173,St. James Hospital and Health Centers,Healthcare,IL,,967,08/10/2010,Improper Disposal,Paper,23/01/2014,,10/08/2010,NA,2010
175,174,"University of Oklahoma - Tulsa, Neurology Clinic",Healthcare,OK,,19200,28/07/2010,Hacking/IT Incident,Desktop Computer,23/01/2014,,28/07/2010,NA,2010
176,175,"LORENZO BROWN, MD INC.",Healthcare,CA,,928,17/08/2010,Theft,Desktop Computer,23/01/2014,,17/08/2010,NA,2010
177,176,"Milton Pathology Associates, P.C.",Laboratory,MA,Joseph A. Gagnon d/b/a Goldthwait Associates,11000,26/07/2010,Improper Disposal,Paper,23/01/2014,,26/07/2010,NA,2010
178,177,WESTMED Medical Group,Healthcare,NY,,578,17/08/2010,Theft,Laptop,19/06/2014,"An unencrypted laptop computer that contained the electronic protected health information (ePHI) of 578 individuals was stolen from the covered entity (CE), WestMed Medical Group.  The ePHI included names, dates of birth and test results.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS and the media.  As a result of OCR's investigation, the CE improved physical security by locking all laptops during the day and storing all laptops in a locked cabinet overnight.  In addition, the CE reconfigured all laptops with strong passwords and implemented a new procedure to save data to a secure file server.  Further, the CE encrypted all laptop hard drives.  The CE also retrained staff on safeguarding ePHI.



",17/08/2010,NA,2010
179,178,"Debra C. Duffy, DDS",Dental,TX,,4700,08/05/2010,Theft,Network Server,23/01/2014,"An unencrypted laptop and network server were stolen during a burglary of the office.The breach affected approximately 4700 individuals.The protected health information involved in the breach included treatment information for pediatric dental patients and social security numbers, insurance identification numbers and driver's license numbers. Following the discovery of the breach, the CE relocated the practice servers, secured the laptops and installed steel doors at the front entrance of the facility. Additionally, the CE notified the affected individuals and local media and retrained staff.  

",05/08/2010,NA,2010
180,179,"Cumberland Gastroenterology, P.S.C.",Healthcare,KY,,2200,18/09/2010,Theft,Paper,23/01/2014,,18/09/2010,NA,2010
181,180,Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,Healthcare,MD,,692,15/06/2010,Other,Other,23/01/2014,"Protected health information was attached to an email addressed to 85 employees by a benefits staff member. Within 5 days, all recipients were notified, and the email was deleted.  Approximately 692 individuals were affected by this breach.  The email included names, dates of birth, social security numbers, and marital and disability status.  To prevent a similar breach from happening in the future, the covered entity instituted a policy to encrypt emails containing protected health information before it is sent out from the benefits department.  Following OCR's investigation, the covered entity updated its policies and procedures establishing a new business process to require that all emails sent by the benefits office to 5 or more staff members that includes an attachment be reviewed by another team member to ensure the proper document is attached and took personnel action with the responsible employee. Further, the benefits office will use an encryption specialist to train all benefits office staff in the proper methods of encryption, explore future capability of automated flagging of any electronic communications sent by benefits office staff containing potentially sensitive data such as 9-digit numbers, and obtain additional HIPAA training.

",15/06/2010,NA,2010
182,181,LoneStar Audiology Group,Healthcare,TX,,585,08/11/2010,Theft,Laptop,23/01/2014,"A laptop was stolen from a workforce member's home. Approximately 585 individuals were affected.  The PHI included addresses, dates of birth, diagnosis and conditions, medications and other treatment information. Following the breach, the covered entity encrypted all its laptops. After the initiation of OCR's investigation, the encryption of the laptops was completed.

",11/08/2010,NA,2010
183,182,Utah Department of Health,Healthcare,UT,Utah Department of Workforce Services,1298,03/01/2010,Other,Desktop Computer,23/01/2014,,01/03/2010,NA,2010
184,183,SW Seattle Orthopaedic and Sports Medicine,Healthcare,WA,,9493,09/04/2010,Hacking/IT Incident,Network Server,23/01/2014,"A database web server, containing the electronic protected health information (EPHI) of 9,493 individuals, was breached by an unknown, external person(s) for use as a game server.  Although there was no indication of access to EPHI, the EPHI on the database web server included names, dates of birth, types of x-rays, and dates of x-rays.  Following the breach, the covered entity relocated two servers to its more secure primary data center and removed the Internet access line that resulted in the breach.  Additionally, OCR's investigation resulted in the covered entity improving their administrative safeguards, such as incident response and reporting.  

",04/09/2010,NA,2010
185,184,University of Arkansas for Medical Sciences,Healthcare,AR,,1000,10/12/2010,Theft,Other,23/01/2014,,12/10/2010,NA,2010
187,186,Northridge Hospital Medical Center,Healthcare,CA,,716,16/10/2010,Loss,Paper,23/01/2014,,16/10/2010,NA,2010
189,188,"Aetna, Inc.",Insurance,CT,,2345,09/09/2010,Unauthorized Access/Disclosure,Network Server,23/01/2014,"Aetna notified all possibly affected individuals of the breach, filed a breach report with OCR, commenced an investigation to identify and correct the root cause of the issue; the coding changes that were causing the breach were removed from IPS via Aetna's emergency Change Management procedures to prevent any further exposure while the problem was analyzed; once the specific code that conflicted with its proxy server settings was identified as the root cause of the breach, it was removed. Also, in an effort to mitigate any harm as a result of the breach, Aetna offered all affected individuals one year of free credit monitoring, and the notification letters included a toll-free number which was established specifically to answer questions related to this incident. 

",09/09/2010,NA,2010
190,189,Sta-home Health & Hospice,Healthcare,MS,,1104,16/09/2010,Theft,Desktop Computer,23/01/2014,,16/09/2010,NA,2010
191,190,Puerto Rico Department of Health,Healthcare,PR,Medical Card System/MCS-HMO/MCS Advantage/MCS Life,115000,09/03/2010,Unauthorized Access/Disclosure,Other,23/01/2014,,03/09/2010,NA,2010
192,191,VNA of Southeastern Ct.,Healthcare,CT,,12000,30/09/2010,Theft,Laptop,23/01/2014,,30/09/2010,NA,2010
193,192,"Prime Home Care, LLC",Healthcare,NE,,1550,13/09/2010,Theft,Desktop Computer,23/01/2014,,13/09/2010,NA,2010
194,193,Visiting Nurse Service Association of Schenectady County,Healthcare,NY,,535,14/09/2010,Theft,Laptop,19/06/2014,"An encrypted laptop computer that contained the electronic protected health information (ePHI) of 535 individuals was stolen from the covered entity (CE).  The ePHI included names, addresses, and dates of birth.  Upon discovery of the breach, the CE filed a police report to recover the stolen item.  Following OCR's investigation, the CE disabled the involved staff member's account, verbally counseled the staff member, and retrained the staff member.  The CE also adopted and implemented security policies and procedures for laptops/tablet devices and provided training to all staff.",14/09/2010,NA,2010
195,194,"Manor Care Indy (South), LLC.",Healthcare,IN,,845,09/11/2010,Unauthorized Access/Disclosure,Paper,23/01/2014,,11/09/2010,NA,2010
196,195,"Robert Wheatley, DDS, PC",Dental,MO,,1400,17/10/2010,Theft,Laptop,23/01/2014,,17/10/2010,NA,2010
197,196,Henry Ford Hospital,Healthcare,MI,,3700,24/09/2010,Theft,Laptop,23/01/2014,,24/09/2010,NA,2010
198,197,Holy Cross Hospital,Healthcare,FL,,1500,27/07/2010,Theft,Paper,23/01/2014,,27/07/2010,NA,2010
199,198,Newark Beth Israel Medical Center,Healthcare,NJ,"Professional Transcription Company, Inc.",1744,01/01/2010,Theft,Network Server,19/06/2014,"The covered entity's (CE) business associate (BA), Professional Transcription Company, posted the electronic protected health information (ePHI) of 1,744 individuals on a website portal of the BA.  The ePHI included names, dates of birth, diagnosis, and other clinical information.  Upon discovery of the breach, the BA shut down the applicable server.  The CE, Newark Beth Israel Medical Center, provided breach notification to HHS, the media, and affected individuals and also posted substitute notice on its website.  As a result of OCR's investigation, the BA located the ePHI online and contacted Google to block files that contained ePHI.  In addition, the BA retrained all employees regarding its security policies.  The CE terminated its BA agreement with the BA.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",01/01/2010,NA,2010
200,199,Memorial Hospital of Gardena,Healthcare,CA,,771,14/10/2010,Unauthorized Access/Disclosure,Paper,23/01/2014,,14/10/2010,NA,2010
201,200,Oklahoma City VA Medical Center,Healthcare,OK,,1950,10/08/2010,Improper Disposal,Paper,23/01/2014,,08/10/2010,NA,2010
202,201,Albert Einstein Healthcare Network,Healthcare,PA,,613,21/10/2010,Theft,Desktop Computer,23/01/2014,,21/10/2010,NA,2010
203,202,Kings County Hospital Center,Healthcare,NY,,542,22/08/2010,Theft,Desktop Computer,19/06/2014,"An unencrypted desktop computer that contained the electronic protected health information (ePHI) of 542 individuals was stolen from the covered entity (CE), Kings County Hospital Center.  The ePHI included names, medical record numbers, admission and treatment dates, diagnostic treatment, pathology and/or medication information, telephone numbers and ages.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE installed an encryption system for all internal and external computers and laptops.  The CE implemented a new policy that prohibits staff from storing ePHI on their local computer hard drives or Windows desktop.",22/08/2010,NA,2010
205,204,Ochsner Health System,Healthcare,LA,H.E.L.P. Financial Corporation,9475,27/09/2010,Unauthorized Access/Disclosure,Paper,23/01/2014,"A programming error in a business associate's IT system caused the PHI of patients to be printed on letters sent to other patients. The printing error affected approximately 9475 individuals.The protected health information involved in the breach included patient names, medical record numbers and account balances. Following the discovery of the breach, the BA corrected the programming error and implemented additional quality checks. Additionally, the BA notified the affected individuals and the CE notified the local media.  

",27/09/2010,NA,2010
206,205,zarzamora family dental care,Dental,TX,,800,15/10/2010,Theft,Desktop Computer,23/01/2014,,15/10/2010,NA,2010
207,206,Hospital Auxilio Mutuo,Healthcare,PR,,1000,11/09/2010,Hacking/IT Incident,Laptop,23/01/2014,,09/11/2010,NA,2010
209,208,"Gary C. Spinks, DMD, PC",Healthcare,MD,,1000,29/09/2010,Hacking/IT Incident,Network Server,23/01/2014,,29/09/2010,NA,2010
210,209,Cook County Health & Hospitals System,Healthcare,IL,,556,11/01/2010,Theft,Desktop Computer,23/01/2014,,01/11/2010,NA,2010
211,210,"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated",Healthcare,WI,,3288,11/08/2010,Theft,Laptop,23/01/2014,,08/11/2010,NA,2010
213,212,California Therapy Solutions,Healthcare,CA,,1250,11/11/2010,Theft,Other,23/01/2014,,11/11/2010,NA,2010
214,213,Osceola Medical Center,Healthcare,WI,Hils Transcription,585,25/11/2010,Unauthorized Access/Disclosure,Other,23/01/2014,,25/11/2010,NA,2010
215,214,Indiana Family and Social Services Administration,Community Services,IN,The Southwestern Indiana Regional Council on Aging,757,11/04/2010,Theft,Laptop,23/01/2014,,04/11/2010,NA,2010
216,215,Mankato Clinic,Healthcare,MN,,3159,11/01/2010,Theft,Laptop,23/01/2014,,01/11/2010,NA,2010
217,216,Geisinger Wyoming Valley Medical Center,Healthcare,PA,,2928,11/03/2010,Unauthorized Access/Disclosure,E-mail,23/01/2014,,03/11/2010,NA,2010
218,217,Our Lady of Peace Hospital,Healthcare,KY,,24600,31/03/2010,Theft,Other,23/01/2014,,31/03/2010,NA,2010
219,218,International Union of Operating Engineers Health and Welfare Fund ,Healthcare,MD,"Zenith Administrators, Inc.",800,25/10/2010,Theft,Paper,23/01/2014,,25/10/2010,NA,2010
220,219,"Southern Perioperative Services, P.C.",Healthcare,AL,,2000,17/11/2010,Theft,Other,23/01/2014,,17/11/2010,NA,2010
221,220,Keystone/AmeriHealth Mercy Health Plans,Healthcare,PA,,808,20/09/2010,Loss,Other,23/01/2014,,20/09/2010,NA,2010
222,221,"Ankle + Foot Center of Tampa Bay, Inc.",Healthcare,FL,,156000,28/10/2010,Theft,Network Server,30/06/2014,"The covered entity's (CE) network server, containing the electronic protected health information (ePHI) of 136,000 patients, was hacked.  The types of ePHI involved in the breach were demographic and clinical information, including diagnoses and other treatment data.  Following the breach, the CE hired a third party vendor to resolve a data crash and to create a data back-up plan in order to restore office functioning.  To implement adequate safeguards, the CE also employed a cloud service with increased security as the new network server.  Additionally, the CE contacted the local FBI office to assist with the CE's internal investigation of the breach and provided breach notification to all affected individuals, the media, and HHS.  As a result of OCR's investigation, the CE developed and implemented new protocols to comply with the Security Rule.  In addition, the CE provided and initiated new trainings for its staff, completed hiring of a new network vendor, implemented a new electronic health records system, and accounted for the disclosures in the affected individuals' medical records.",28/10/2010,NA,2010
224,223,"Seacoast Radiology, PA",Healthcare,NH,,231400,11/12/2010,Hacking/IT Incident,Network Server,23/01/2014,,12/11/2010,NA,2010
225,224,Friendship Center Dental Office,Dental,FL,,2200,19/12/2010,Theft,Laptop,23/01/2014,,19/12/2010,NA,2010
226,225,Centra,Healthcare,VA,,11982,11/11/2010,Theft,Laptop,23/01/2014,,11/11/2010,NA,2010
227,226,St.Vincent Hospital - Indianapolis,Healthcare,IN,,1848,11/12/2010,Hacking/IT Incident,E-mail,23/01/2014,,12/11/2010,NA,2010
228,227,Texas Health Harris Methodist Hospital Azle,Healthcare,TX,,9922,04/07/2010,Theft,Other,23/01/2014,,07/04/2010,NA,2010
229,228,Franciscan Medical Group,Healthcare,WA,,1250,18/11/2010,Theft,Desktop Computer,23/01/2014,,18/11/2010,NA,2010
230,229,State of South Carolina Budget and Control Board Employee Insurance Program (EIP),Government,SC,,5596,11/08/2010,Hacking/IT Incident,Desktop Computer,23/01/2014,,08/11/2010,NA,2010
231,230,Lake Woods Nursing & Rehabilitation Center,Healthcare,MI,,656,28/12/2010,Theft,Laptop,23/01/2014,,28/12/2010,NA,2010
232,231,"Benefit Resources, Inc.",Insurance,SC,Travis Software Corp.,16200,13/10/2010,Loss,Other,23/01/2014,,13/10/2010,NA,2010
233,232,Baptist Memorial Hospital - Huntingdon,Healthcare,TN,J. A. Still Corporation,4800,27/11/2010,Theft,Other,23/04/2014,"Two diskettes containing the electronic protected health information (ePHI) of approximately 4,754 individuals were lost by the Covered Entity's (CE) Business Associate (BA) after the package containing the diskettes was damaged by the mail carrier.  Although one of the diskettes was eventually found, the other diskette was never recovered.  The ePHI on the diskettes included names, addresses, dates of birth, social security numbers, and clinical information.  Upon discovery of the breach, the CE obtained a copy of the information contained on the diskettes and notified all affected individuals, OCR and the media.  Following OCR's investigation, the CE terminated its contract with the BA involved in the incident and provided evidence of the assurances in its BA agreement pertaining to the return or destruction of ePHI.  Lastly, the CE entered an accounting of disclosures for each affected individual into its electronic database.",27/11/2010,NA,2010
234,233,"Grays Harbor Pediatrics, PLLC",Healthcare,WA,,12009,23/11/2010,Theft,Other,23/01/2014,,23/11/2010,NA,2010
235,234,"Hanger Prosthetics & Orthotics, Inc.",Healthcare,TX,,4486,24/11/2010,Theft,Laptop,23/01/2014,"An unencrypted laptop was stolen from an employee offsite.  The laptop contained the PHI of 4,486 patients. The protected health information involved in the breach contained names, addresses and procedure codes. Following the breach, the CE filed a police report, notified affected patients and notified the media. Following the discovery of the breach, the covered entity encrypted all existing laptops and implemented a policy requiring all future purchased laptops to be encrypted prior to being issued for use.  

",24/11/2010,NA,2010
236,235,Baylor Heart and Vascular Center,Healthcare,TX,,8241,12/02/2010,Theft,Other Portable Electronic Device,23/04/2014,"A portable ultrasound machine containing electronic protected health information (ePHI) of approximately 8,241 individuals was stolen from the covered entity's (CE) facility.  The ePHI involved in the breach included patient names, dates of birth, and limited health information.  Upon discovery of the breach, the CE conducted a privacy and security assessment of its portable machines to identify vulnerabilities.  Following OCR's investigation, the CE updated its privacy and security policies, retrained its employees, and increased physical security to ensure reasonable safeguards.",02/12/2010,NA,2010
237,236,"CHC MEMPHIS CMHC, LLC",Healthcare,TN,,500,12/04/2010,Theft,Desktop Computer,23/01/2014,,04/12/2010,NA,2010
238,237,Jefferson Center for Mental Health,Healthcare,CO,,546,13/12/2010,Theft,Paper,23/01/2014,,13/12/2010,NA,2010
242,241,Saint Louis University,Education,MO,,800,12/11/2010,Hacking/IT Incident,Desktop Computer,23/01/2014,,11/12/2010,NA,2010
243,242,New York City Health & Hospitals Corporation's North Bronx Healthcare Network,Healthcare,NY,GRM Information Management Services,1700000,23/12/2010,Theft,Electronic Medical Record,28/05/2014,"Unencrypted clinical system backup tapes that contained the electronic protected health information (ePHI) of 1,700,000 individuals were stolen from the unlocked vehicle of an employee of the covered entity's (CE) business associate (BA).  The ePHI included names, medical record numbers, social security numbers, addresses, telephone numbers, health plan numbers, dates of birth, dates of admission, dates of treatment, dates of discharge, dates of death, mother's name, next of kin, clinical information related to diagnosis, treatment, prognosis, laboratory tests and results, and medications.  Upon discovery of the breach, the CE filed a police report to recover the stolen items and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE terminated its BA agreement and installed encryption software on backup media.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",23/12/2010,NA,2010
244,243,Long Beach Memorial Medical Center,Healthcare,CA,,2250,12/10/2010,Unauthorized Access/Disclosure,Other,23/01/2014,,10/12/2010,NA,2010
247,246,Mountain Vista Medical Center,Healthcare,AZ,,2291,13/10/2010,Loss,Other Portable Electronic Device,23/01/2014,,13/10/2010,NA,2010
248,247,Departamento de Salud de Puerto Rico,Government,PR,,2621,14/03/2010,Unknown,Desktop Computer,23/01/2014,,14/03/2010,NA,2010
250,249,"Central Brooklyn Medical Group, PC",Healthcare,NY,,500,08/03/2010,Theft,Paper,20/06/2014,"OCR opened an investigation of the covered entity (CE), Preferred Health Partners f/k/a Central Brooklyn Medical Group, after it reported appointment schedules, pathology reports and portions of medical records containing the protected health information (PHI) of 500 individuals were stolen from an office.  The PHI included names, ages, telephone numbers, social security numbers, medical insurance information, pathology reports, and other clinical information.  Upon discovery of the breach, the CE filed a police report and worked with law enforcement authorities to recover as much of the PHI as possible that was stolen.  As a result of OCR's investigation, the CE removed PHI such as social security or medical insurance numbers from tracking logs.  In addition, the CE improved safeguards by storing log binders in a locked area and shredding documents regularly.  Further, the CE replaced the manual process of printing certain records with an electronic verification system.  The CE also archived, stored off site, and locked up all paper records and retrained all staff on its HIPAA policies and procedures. ",03/08/2010,NA,2010
251,250,TRICARE Management Activity,Government,CO,,4500,25/06/2010,Unauthorized Access/Disclosure,Paper,23/01/2014,,25/06/2010,NA,2010
252,251,Blue Cross and Blue Shield of Florida ,Insurance,FL,,7366,16/10/2010,Unknown,Other,23/01/2014,,16/10/2010,NA,2010
253,252,"University Health Services, University of Massachusetts, Amherst",Healthcare,MA,,942,29/09/2010,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,29/09/2010,NA,2010
255,254,"JEFFREY J. SMITH, MD",Healthcare,OK,,600,24/11/2010,Loss,Desktop Computer,23/01/2014,,24/11/2010,NA,2010
257,256,Texas Health Arlington Memorial Hospital,Healthcare,TX,,654,23/12/2010,Unknown,Electronic Medical Record,23/01/2014,"The IT department turned on the switch to a BA HIE without notifying patients of the exchange or obtaining authorization.  The interface transmitted the PHI of 654 individuals. The PHI disclosed included patient names, addresses, dates of birth, social security numbers, other identifiers, diagnosis/conditions, medications, lab results, other treatment information and financial information. Following the breach, the CE revised the IT process, created a checklist that included notifying the affected departments and provided  additional training to IT and registration employees.  

",23/12/2010,NA,2010
260,259,Clarksburg - Louis A. Johnson VA Medical Center,Healthcare,WV,,1470,26/10/2010,Unauthorized Access/Disclosure,Paper,23/01/2014,,26/10/2010,NA,2010
282,281,Knox Community Hospital,Healthcare,OH,,500,10/01/2010,Improper Disposal,Other,23/01/2014,,01/10/2010,NA,2010
288,287,Indiana Regional Medical Center,Healthcare,PA,,1388,28/09/2010,Theft,Paper,23/01/2014,,28/09/2010,NA,2010
299,298,Blue Cross Blue Shield of Michigan,Insurance,MI,Agent Benefits Corporation,11387,17/11/2010,Unauthorized Access/Disclosure,Network Server,23/01/2014,,17/11/2010,NA,2010
327,326," DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",Healthcare,GA,,7500,07/11/2010,Theft,Paper,23/01/2014,,11/07/2010,NA,2010
357,356,Stanford Hospital & Clinics,Healthcare,CA,"Multi-Speciality Collection Services, LLC",19651,09/09/2010,Unauthorized Access/Disclosure,Other,23/01/2014,,09/09/2010,NA,2010
363,362,Centro de Ortodoncia Inc.,Healthcare,PR,,2000,05/06/2010,Theft,Paper,20/06/2014,"OCR opened an investigation of the covered entity (CE), Dr. Pedro Valentin, after it reported boxes containing the protected health information (PHI) of 2,000 individuals were moved from the CE's office.  The PHI included names, account numbers, responsible party in charge of account, and method of payment.  OCR's investigation revealed that the individual who removed the PHI was the CE's wife and business partner.  The CE advised OCR that he knew his wife/partner was removing the boxes for the purpose of ascertaining the amount of monies the CE was receiving and that he is in the process of dissolving the partnership.  OCR concluded that the actions alleged in the breach report did not amount to a breach.",06/05/2010,NA,2010
443,442,St.Vincent Physician Network,Healthcare,IN,,1423,12/01/2010,Unauthorized Access/Disclosure,Paper,24/03/2014,,01/12/2010,21/11/2011,2010
525,524,Upper Valley Medical Center,Healthcare,OH,"Data Image, Inc.",15000,10/01/2010,Unauthorized Access/Disclosure,Other,23/01/2014,,01/10/2010,21/03/2012,2010
527,526,"Phoebe Putney Memorial Hospital, Inc. ",Healthcare,GA,,12937,26/06/2010,Theft,Electronic Medical Record,20/02/2014,,26/07/2010,29/03/2012,2010
649,648,"Granite Medical Group, Inc.",Healthcare,MA,"Clearpoint Design, Inc.",4125,01/02/2010,Hacking/IT Incident,Network Server,19/02/2014,,02/01/2010,15/11/2012,2010
698,697,University of Connecticut Health Center,Healthcare,CT,,1382,06/07/2010,Unauthorized Access/Disclosure,Network Server,23/01/2014,,07/06/2010,07/12/2012,2010
858,857,Rotech Healthcare Inc.,Healthcare,FL,,10680,10/01/2013,Unauthorized Access/Disclosure,Laptop,18/02/2014,,26/11/2010,01/10/2013,2010
913,912,Coulee Medical Center,Healthcare,WA,,2500,01/01/2010,Unauthorized Access/Disclosure,E-mail,11/02/2014,,01/01/2010,30/11/2013,2010
922,921,"Triple-S Salud, Inc.",Insurance,PR,"Triple-C, Inc.",398000,09/09/2010,Theft,Network Server,18/02/2014,,09/09/2010,NA,2010
1037,1036,Central City Concern,Healthcare,OR,,17914,23/03/2010,Unauthorized Access/Disclosure,Other,18/06/2014,,23/03/2010,NA,2010
